Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Female,Single,Student,No Income,Post Graduate,4,12.9766,77.5993,560001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Female,Single,Student,Below Rs.10000,Graduate,3,12.977,77.5773,560009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Single,Student,Below Rs.10000,Post Graduate,3,12.9551,77.6593,560017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Female,Single,Student,No Income,Graduate,6,12.9473,77.5616,560019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,12.985,77.5533,560010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Female,Married,Employee,More than 50000,Post Graduate,2,12.9299,77.6848,560103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Single,Student,No Income,Graduate,3,12.977,77.5773,560009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Female,Single,Student,No Income,Post Graduate,3,12.9828,77.6131,560042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Female,Single,Student,No Income,Post Graduate,2,12.9766,77.5993,560001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Female,Single,Student,No Income,Post Graduate,4,12.9854,77.7081,560048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Female,Single,Student,No Income,Post Graduate,5,12.985,77.5533,560010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,12.977,77.5773,560009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Male,Single,Student,No Income,Post Graduate,5,12.8988,77.5764,560078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Male,Single,Student,No Income,Graduate,4,12.977,77.5773,560009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,5,12.9438,77.5738,560004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Female,Single,Student,No Income,Post Graduate,6,12.8893,77.6399,560068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,12.9783,77.6408,560038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Female,Single,Student,No Income,Graduate,3,12.982,77.6256,560008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Single,Student,No Income,Graduate,4,12.8988,77.5764,560078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Female,Single,Student,Below Rs.10000,Post Graduate,1,12.9783,77.6408,560038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Male,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Single,Student,No Income,Post Graduate,4,13.0298,77.6047,560032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Female,Single,Student,No Income,Graduate,4,12.9983,77.6409,560033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Male,Single,Student,No Income,Graduate,4,12.9925,77.5633,560021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Male,Single,Student,Below Rs.10000,Post Graduate,3,12.9306,77.5434,560085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Single,Student,No Income,Post Graduate,3,12.982,77.6256,560008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Female,Single,Student,No Income,Post Graduate,5,12.9353,77.5585,560050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Single,Student,No Income,Post Graduate,3,12.9155,77.5135,560098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Female,Single,Employee,10001 to 25000,Graduate,3,12.9854,77.7081,560048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,13.0019,77.5713,560003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Female,Single,Employee,10001 to 25000,Graduate,5,12.9698,77.75,560066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Single,Student,No Income,Post Graduate,4,12.9783,77.6408,560038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Married,Employee,More than 50000,Ph.D,4,12.9261,77.6221,560034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Female,Single,Student,10001 to 25000,Post Graduate,5,12.985,77.5533,560010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Female,Single,Student,No Income,Post Graduate,2,12.9119,77.6446,560102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Single,Student,10001 to 25000,Post Graduate,3,12.9306,77.5434,560085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Single,Student,No Income,Post Graduate,5,12.977,77.5773,560009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Female,Prefer not to say,House wife,No Income,Graduate,5,12.982,77.6256,560008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Female,Single,Student,No Income,Post Graduate,3,12.9438,77.5738,560004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Female,Single,Student,No Income,Post Graduate,4,12.8988,77.5764,560078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Male,Married,Self Employeed,More than 50000,Uneducated,4,12.9662,77.6068,560025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Male,Single,Student,No Income,Graduate,3,12.9565,77.5484,560026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Male,Single,Student,No Income,Post Graduate,4,12.9925,77.5633,560021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
